id,x_cm,y_cm,z_cm
200326126,93295.91313492844,131973.8844858531,128449.2069510281
202916528,210000.59130124192,164670.49942287014,111422.18498888322
203253072,200031.04505942928,164353.04436413842,116276.63959888447
203253253,226163.629029156,178512.08491373266,82850.09532858025
203257652,223881.2983185949,164915.14323034487,105356.44403147888
203594169,203221.968639338,160426.83679980654,108771.49372530034
203594175,202105.6666645792,158918.0732801263,107000.0906785595
203598504,215794.08493067764,164141.87759696276,98574.58974180809
203598542,208711.97657024767,165286.10425233337,108092.46295018274
203598557,234154.11087145,166471.7994096756,112502.55833579227
203931040,199549.0800704452,166792.2099350353,113645.58718517542
204962969,240969.10881913465,172993.6629603708,91623.40677891464
206555682,187419.1002180701,217369.0040597873,52855.53238651193
232513628,233976.8240443706,104363.46055015294,138100.48288597207
232513671,197851.05244725823,112514.3715714286,143574.34353250932
233105330,102207.21435778348,163546.11615128315,62395.10096967765
233877926,227309.93516128187,121753.08760347628,127382.0946135746
262167456,181179.3155333366,95854.59210819165,160217.76745929796
262504004,213306.11022623457,123899.77694746845,118205.39683650968
262517074,188076.5699902009,100790.82084328684,154580.18643946253
262840563,177297.55416432183,90984.8586931258,182121.12928211087
263199096,235232.59118191228,112256.31489192692,133733.51972267893
263475451,143596.81097438408,184196.1651276723,48096.642528404176
263522664,208780.25454328145,128910.30286612436,104146.09652704184
263674097,89079.03432363916,193535.110539986,91966.68233539967
264014957,86602.07503187943,189008.17373174653,91768.8736004088
264083994,79967.82412707614,139368.2216796342,94595.1989110962
264438143,121199.15784103009,169477.38159007404,41333.52041016026
264779403,77337.19772200276,151118.1971621308,75517.67775931719
264783939,70512.59606317633,149844.26371787002,77424.47082759721
264822904,121583.69358435825,171699.1024587382,45104.76946299736
264986706,198456.1105956656,158809.12632354238,118410.42274193071
265120223,98064.54208336984,143694.6849201484,80874.05064941656
265120324,69867.57821882171,154743.9965788023,80814.87535611501
265120424,130336.01132363045,171235.6243302671,48789.406418508
265120467,128082.85486490006,172247.83556661336,46281.41517569511
265120589,131568.13278325173,173669.11437237138,45302.35569899188
265120597,154802.48626137152,162403.87672356688,117700.29783514269
265120677,159454.5111330829,174860.2579471249,97859.82098677006
265124786,96913.92380698584,170796.25688976844,70511.3547253314
265155147,132753.2954508532,179557.55209601924,56270.20002649648
266187342,154451.5747070726,201666.23285554067,55244.39967421393
266187477,146817.24224102293,196316.27797381865,52518.91872802032
266187480,144397.84222450666,195556.68345320364,49277.84795972178
266187532,138976.02545637998,193717.8804559389,54581.83438519013
266187559,115290.47925114636,192988.6086006605,73268.07625217095
266191395,128501.69637603629,199065.21750668183,66173.93421839864
266191407,149299.00581146576,188835.43219182512,90312.21658784
266200011,148728.51345804514,172984.2651851032,62511.24289807479
266527996,139845.62615532757,194058.1701029586,49918.463954904655
266528044,137789.22565710935,194730.6158437604,50308.00190003948
266528078,135658.4341962156,193512.8055574983,52257.95625058639
266528086,139886.68533951804,194583.4756433728,51560.70964587927
266536576,174511.6993559795,194894.2706464555,107352.40438501736
266626740,238273.4167039673,176379.29208342897,93184.26985792964
266691460,259552.88159664048,173939.45559066755,84456.17068630477
266847236,126281.89341870187,171366.52680918478,51963.0521835922
266873389,100533.0925567927,187382.2137147048,57224.18462410491
266873401,103624.84575653017,199866.73169207555,62032.76346628886
267214250,163258.31115259478,200084.641043112,78854.54094252296
267223027,93401.31170706572,194857.83164864976,71335.86081985259
267223104,119575.15389972932,210205.88951687736,69769.40945233687
267227062,99461.57854557224,185850.22849633955,63467.97726693777
267304783,215787.1718902164,206801.25458230905,66629.62060179313
267551639,162014.42657029195,205805.93682427765,99029.89410931618
267559575,132218.64215718303,160906.26147622883,72542.61920549755
267896360,155761.25093567898,199832.0020316518,58291.42841371484
267900632,134561.29736062177,186855.4529946841,49726.49802429481
268237554,101691.74832157188,191050.76235556565,55370.612473784655
268725517,194231.5865559362,230533.65605878044,132041.78681584747
268731005,224663.08135244125,229028.20000670647,103803.98677114648
270322941,184142.81311480416,221573.5434859389,65121.96731603627
294161385,118034.63269034764,165406.28514230455,86406.61088320935
294424196,83000.97627572514,159880.6351433648,45472.25399905234
294428266,73408.92761633993,150929.40976353947,59616.21771960266
294432626,70807.95570834987,149435.07040357194,59729.762154667886
294432760,83425.12209944967,162575.353234295,51682.38871042839
294436967,80894.32705662165,154299.70299659888,82539.05695065664
294437328,71322.48031912697,165250.97747976333,62741.14779554577
294437347,66631.7153463673,154496.55432005334,71760.1228020449
294441510,80944.35463531554,160349.5840934009,51234.47365029033
