i,j,weight
0,1399,1
0,1833,1
0,2375,1
0,5312,1
0,8584,1
0,8660,1
0,15077,1
2,812,7
2,950,4
2,1037,3
2,1861,1
2,3468,2
2,4472,2
2,4552,1
2,5545,2
2,7931,1
2,8471,1
2,8637,1
2,8822,8
2,8973,1
2,9099,2
2,11662,3
2,12153,4
2,12549,1
2,12593,1
2,12817,13
2,13608,2
2,14307,3
2,14674,1
2,15604,1
3,12181,1
3,15295,1
5,52,1
5,1357,1
5,1416,1
5,1650,2
5,3350,1
5,7211,1
5,7371,1
5,10638,1
5,11880,1
5,13240,5
5,13256,2
6,1021,1
6,1038,1
6,1656,1
6,2836,1
6,3776,1
6,4094,1
6,4154,1
6,4201,1
6,5508,1
6,5898,1
6,8056,1
6,9494,1
6,12196,1
6,14147,1
6,14413,1
6,14868,1
6,15412,1
6,15729,6
7,11967,1
7,13376,2
7,14466,1
8,4213,1
8,4630,1
8,5599,1
8,8532,1
8,10200,1
8,12205,1
8,15191,1
9,15276,1
10,1133,1
10,1882,1
10,4145,1
10,4993,1
10,5289,1
10,7748,1
10,10007,1
10,14326,2
11,93,1
11,1813,1
11,5012,3
11,7438,2
11,8471,2
11,9341,1
11,10028,3
11,13067,1
11,14572,1
11,15357,3
12,154,2
12,436,1
12,1002,1
12,2353,1
12,2833,1
12,3147,1
12,6402,1
12,7266,1
12,8421,1
12,9751,1
12,10279,1
12,12174,1
12,12197,1
12,13876,1
12,14205,1
12,14495,1
12,15463,1
13,814,1
13,1198,2
13,1513,1
13,2247,1
13,2588,1
13,2608,1
13,4311,1
13,4993,1
13,9242,1
13,13894,2
14,7,1
14,1114,1
14,1199,1
14,2177,1
14,2600,1
14,3598,1
14,7322,1
14,7642,1
14,9344,1
14,9414,1
14,9566,1
14,9760,3
14,11219,1
14,11572,1
14,11630,1
14,11775,1
14,11806,1
14,12000,1
14,12002,1
14,12168,1
14,12509,2
14,12920,4
14,15091,1
14,15238,1
14,15475,1
15,1741,4
15,3404,2
16,519,1
16,3235,1
16,12947,1
16,15493,1
17,1958,1
17,3695,1
18,8714,1
18,8850,1
18,12622,1
19,2878,1
19,3838,1
20,11955,1
21,179,1
21,650,1
21,1488,1
21,1740,1
21,2983,2
21,3317,2
21,3996,1
21,5251,2
21,5465,1
21,6809,1
21,9044,1
21,9825,2
21,10252,1
21,10425,9
21,11881,2
21,11896,1
21,12575,2
21,13975,4
21,14981,2
23,2221,1
23,2493,1
23,3491,1
23,5793,2
23,9163,1
23,13285,1
25,2144,1
26,9026,2
26,11469,1
27,6025,1
28,3593,3
28,9607,1
28,10365,1
29,11748,1
30,11390,1
31,7051,4
31,8278,1
32,7682,1
34,615,1
34,1989,1
34,3868,1
34,5113,1
37,451,1
37,573,1
37,1251,1
37,1405,1
37,1664,3
37,3047,1
37,3155,1
37,3226,3
37,3971,1
37,4601,1
37,4742,3
37,5921,1
37,7217,1
37,8485,1
37,8850,3
37,9148,1
37,10057,6
37,10844,1
37,12326,2
37,12328,1
37,12951,1
37,13686,1
37,15699,1
38,6694,1
38,9419,1
38,9734,1
39,2933,4
39,3173,1
39,6288,1
39,9082,1
43,48,1
43,738,2
43,776,1
43,2552,1
43,3932,1
43,7646,2
43,9165,1
43,9566,1
43,10971,2
43,11164,2
43,12298,1
43,13271,1
44,9487,1
45,1957,1
45,5092,1
45,5503,1
45,8192,1
47,6449,1
48,955,1
48,1159,1
48,3366,1
48,4491,2
48,4550,1
48,5188,1
48,6959,1
48,9344,1
48,9495,2
48,10971,1
48,11572,1
48,11637,1
48,11775,1
48,15366,1
49,756,2
49,1930,1
49,4316,2
49,6100,1
49,6443,1
49,9107,3
49,13106,1
49,14102,1
49,14760,1
49,15122,1
50,48,1
50,1425,1
50,1899,2
50,1910,1
50,2452,1
50,3329,1
50,6459,1
50,7532,4
50,12977,1
50,13441,1
50,14862,1
50,15366,1
50,15513,1
52,6881,1
52,11839,1
53,521,1
53,553,1
53,577,2
53,1492,1
53,2008,1
53,3272,1
53,3466,1
53,4584,2
53,8276,2
53,8477,2
53,10198,1
53,10426,1
53,10720,2
53,11054,1
53,11089,1
53,11306,1
53,12431,1
53,13106,1
53,13993,2
53,14589,2
54,2504,3
54,3402,1
54,4584,1
54,5630,1
54,9339,1
54,10222,1
54,13262,1
54,13932,5
54,14333,1
55,5978,7
55,6477,3
55,13791,3
56,154,1
56,4251,1
56,9254,1
56,13139,1
56,13168,2
56,15295,2
57,1688,1
57,2024,6
57,2533,1
57,2897,3
57,3550,2
58,15406,1
60,14684,1
61,3550,1
61,13537,1
62,4179,1
62,4415,2
62,5337,1
62,5481,1
62,6104,1
62,8055,2
62,9867,1
62,13709,1
62,15647,1
63,357,1
63,660,2
63,847,1
63,2004,1
63,3571,1
63,3702,1
63,4141,1
63,4430,1
63,7409,1
63,7966,1
63,8563,2
63,9360,1
63,10612,4
63,15380,3
64,801,1
64,2946,1
64,3811,1
64,5870,1
64,9042,1
66,4319,1
66,10287,1
66,10426,15
66,13226,1
67,546,7
67,1265,1
67,3196,1
67,3392,1
67,8068,1
67,8630,1
67,9085,1
67,9380,5
