i,j,weight,reciprocated
0,993,2,False
0,1399,1,False
0,1833,1,False
0,2375,1,False
0,4081,1,False
0,5312,1,False
0,8202,1,False
0,8584,1,False
0,8660,1,False
0,9098,3,False
0,9400,1,False
0,15077,1,False
2,812,7,False
2,950,4,False
2,1037,3,False
2,1861,1,False
2,3468,2,False
2,4472,2,False
2,4552,1,False
2,5345,1,False
2,5545,2,False
2,7931,1,False
2,8471,1,False
2,8637,1,False
2,8822,8,False
2,8973,1,False
2,9099,2,False
2,9828,1,False
2,11662,3,False
2,11921,3,False
2,12153,4,False
2,12549,1,False
2,12593,1,False
2,12817,13,False
2,13608,2,False
2,14307,3,False
2,14674,1,False
2,15604,1,False
3,12181,1,False
3,15295,1,False
5,52,1,False
5,1357,1,False
5,1416,1,False
5,1650,2,False
5,3350,1,False
5,7211,1,False
5,7371,1,False
5,10638,1,False
5,11880,1,False
5,13240,5,False
5,13256,7,True
6,1021,1,False
6,1038,1,False
6,1377,1,False
6,1656,1,False
6,2836,1,False
6,3186,1,False
6,3224,1,False
6,3776,1,False
6,4094,1,False
6,4154,1,False
6,4201,1,False
6,5508,1,False
6,5693,1,False
6,5898,1,False
6,6447,4,False
6,7158,1,False
6,7229,1,False
6,8016,1,False
6,8056,1,False
6,9494,1,False
6,10329,2,False
6,10505,1,False
6,10750,1,False
6,11733,1,False
6,12196,1,False
6,12897,1,False
6,14147,1,False
6,14413,1,False
6,14868,1,False
6,15412,1,False
6,15729,6,False
7,14,1,False
7,1309,1,False
7,1939,1,False
7,3300,1,False
7,3759,1,False
7,5145,1,False
7,5986,2,False
7,6024,2,False
7,11967,1,False
7,13376,2,False
7,14193,1,False
7,14466,1,False
8,4213,1,False
8,4630,1,False
8,5599,1,False
8,8532,1,False
8,10200,1,False
8,12205,1,False
8,15191,1,False
9,3513,1,False
9,5736,1,False
9,10487,1,False
9,10838,2,False
9,13336,1,False
9,14022,1,False
9,15276,1,False
10,1133,1,False
10,1882,1,False
10,4145,1,False
10,4993,1,False
10,5289,1,False
10,7748,1,False
10,10007,1,False
10,10086,1,False
10,13216,1,False
10,14326,2,False
11,93,1,False
11,804,1,False
11,1813,1,False
11,2109,1,False
11,2443,1,False
11,5012,3,False
11,6304,1,False
11,7438,2,False
11,8471,2,False
11,9341,1,False
11,10028,3,False
11,11014,1,False
11,11076,1,False
11,13067,1,False
11,14572,1,False
11,15357,3,False
12,154,2,False
12,436,1,False
12,1002,1,False
12,2353,1,False
12,2833,1,False
12,3147,1,False
12,4562,1,False
12,6402,1,False
12,7019,1,False
12,7266,1,False
12,8421,1,False
12,9751,1,False
12,10279,1,False
12,12174,1,False
12,12197,1,False
