id,x_cm,y_cm,z_cm
864691134875730426,1123670.4655513798,1082687.9954065266,771633.2582171111
864691134878379514,1059961.9719427829,1080718.0102399387,688747.4012552405
864691134884743418,505179.0342721005,881246.6511501794,734441.1034362654
864691134884744698,690167.3623737423,912731.984079604,928036.0364128269
864691134884745978,624378.276880306,672046.6459273095,800415.9685425501
864691134884749818,831313.0793584504,614326.6987743352,823666.1061263791
864691134884753402,542372.3878877861,853518.090909178,877864.7607953078
864691134884756986,655693.4361639328,659788.3676123293,959917.0076893404
864691134884760826,1006633.3731567872,647239.9610740466,854330.1031323139
864691134884761850,921448.4230465556,674791.0273702852,886275.5122551753
864691134884766458,974972.4522360506,746988.7015630899,731177.6751068443
864691134884767994,1085125.782227937,794143.4037486849,747314.1302521393
864691134884768506,952674.669666777,795847.9703398985,981093.830936046
864691134884769786,1323533.544271166,815877.9930859252,796611.8015211454
864691134884790778,704271.5747855721,661674.3845545013,812948.417722736
864691134917382154,600033.3432775291,875860.2439921318,736512.9470168815
864691134917391626,551786.4313911872,953136.7734710224,753823.2730297174
864691134917397514,879705.2726506655,960689.9496685442,769419.5847765427
864691134917397770,928584.7361249712,677971.0763615536,910040.4420711104
864691134917398794,907994.7935397312,635861.5560242995,834456.9269992822
864691134917399050,1115761.9972876443,650152.575385252,795754.1836807395
864691134917400074,1104633.4115014526,599917.5717603549,796352.0586307879
864691134917415690,1104544.326484165,631099.4250714878,765111.435760492
864691134917426442,807536.3755565861,971627.021411426,846118.1018770462
864691134917429258,1004060.2334704562,695763.4924986722,903092.4729717532
864691134917510154,964221.5965071098,866942.961057375,880667.8486104637
864691134917572874,688992.815697902,855728.4846631301,935310.6740248508
864691134939970659,590655.9262594888,835522.4768101316,778260.6580725037
864691134939971171,806171.9741064265,989507.870810217,793819.1418676516
864691134939973731,762089.18082312,652832.5852164222,734466.9814777761
864691134939975011,533018.8412310344,711671.0731220529,797528.2157289243
864691134939976291,788956.0411720898,538657.0410357852,803172.7841882441
864691134939976547,779793.3264674975,897662.8056290789,839755.4175514823
864691134939981923,1023994.760161264,888012.8592216332,958454.1998567692
864691134939982947,1044515.312476816,423393.7119297731,878793.3647166772
864691134939985763,1010451.399152162,831228.1701237139,828278.1071334769
864691134939986275,1034591.7662759022,612700.2645118312,835377.6061052263
864691134940000611,1267819.8207638126,615391.5335576126,789022.9673766389
864691134940001891,604911.9710878787,420831.4448179767,1055128.952642736
864691134940013923,1032622.700866012,624013.9006426942,809434.5452400035
864691134940132963,807586.9647022542,791183.6980076971,778481.833612731
864691134940148067,753176.7110382194,892579.2802097893,809109.3776506751
864691134940148323,714190.4511177765,889970.5021655327,884430.3533660318
864691134940152931,860708.646060175,589483.2299973427,896365.1708159128
864691134947092471,806433.4266749963,1085099.615567316,674190.6831381319
864691134947378428,361491.110914852,868759.4431364919,735247.0998764441
864691134947387388,732872.4628448335,907966.7507653652,776088.597312923
864691134947387644,723299.687516198,884738.9570762119,752868.4365494247
864691134947387900,1181821.2056839406,819061.3901925681,802637.0466877541
864691134947388412,584693.5439761288,929958.2275156416,874042.3902233378
864691134947388924,805308.2740908012,899504.3868791003,922211.4720821796
864691134947394556,1086189.1737766543,740140.7276377543,742438.1857644892
864691134947394812,619471.163915779,977546.6154618544,935660.8157959238
864691134947398908,1270436.0621491277,800143.4044701912,905956.3392387911
864691134947402748,1000590.8435323414,644373.411391953,803064.9351501449
864691134947406076,1026099.4468199324,609939.1046259018,854368.0746842077
864691134947411196,1072077.8069372596,785067.4559611065,864778.2631621237
864691134947415804,1283636.349474413,823075.1181437058,880153.0499348437
864691134947435260,1280213.723181616,869858.4864379397,809194.545082378
864691134947440892,1338794.821578503,845827.5887017315,755829.4592985909
864691134947441660,1244303.4987008208,808082.3015254008,911793.9935702416
864691134947446268,856885.8007348769,652106.1655759279,865158.8641221559
864691134947447292,1109533.9353066897,871125.9696602441,844587.1890414843
864691134947448316,836849.7021679055,660829.6705458257,773409.2281614104
864691134947451644,835498.6745909808,641959.7890407143,883432.3164845476
864691134947452668,950108.865841202,666094.8268682681,914696.4064334092
864691134947458044,554755.5797820849,655512.2215886653,876346.0473005563
864691134947464188,1076290.1859719118,849365.4388839991,844090.5294540175
864691134947465724,1087452.018134653,946502.5370215004,918158.438430771
864691134947637756,697168.6300701026,840579.3612298667,883283.002577726
864691134964415007,692878.7027302857,627306.6297768675,936162.891380016
864691134964415519,670533.4398086087,1036131.4881957036,810993.6494443169
864691134964423711,348720.52374706056,691480.5580096252,828767.8616492092
864691134964430879,994767.7289966132,806681.987430199,716100.1935548164
864691134964437535,1184860.552814245,863774.3355587639,844404.5167526131
864691134964439327,1137891.154463838,884078.4620847311,773644.6251569192
864691134964441119,342593.2512923204,997560.1728082036,832282.8249682287
864691134964454175,1279516.7827726456,930974.3236703305,869327.7441654406
864691134964456223,800323.7609397776,674327.6879294175,924922.2958989812
864691134964456735,786306.9577069061,715170.648115723,975907.1045538472
864691134964456991,874128.3140957861,630854.7550050084,770994.7122280082
864691134964457247,588725.451249142,815718.2785195124,876573.7350407894
864691134964461343,863400.509734583,632971.4430748067,748471.0066091127
864691134964463903,793147.4999436999,1019385.7183086622,787947.9433157927
864691134964469279,1018606.9582287568,905197.3432564054,785309.4771825296
864691134964469535,984546.4748278684,671959.8276026633,855827.6352093284
864691134964470047,1016191.3543267949,811151.4962469437,826888.4530174753
864691134964579871,680157.7186442654,778131.2067206209,856581.715312449
864691134988383098,1072237.6749711456,851387.9276298172,870991.5912666947
864691134988383610,935779.4377516456,801217.0236976155,868320.5627757473
864691134988384890,889025.2098289839,670882.5218780411,858977.4738382278
864691134988388730,574183.7157067352,672945.6754796314,896389.5960596249
