i,j,weight
1,2935,1
2,139,2
2,271,1
2,2672,1
2,3098,1
2,3792,1
2,4329,1
2,5423,1
2,6159,1
3,4921,1
3,5329,1
4,14,1
4,160,1
4,243,2
4,495,1
4,714,1
4,1540,1
4,1753,1
4,2238,1
4,2553,1
4,3056,1
4,3248,1
4,3251,1
4,3293,1
4,3597,2
4,4467,1
4,5262,1
4,5283,1
4,5582,2
4,5621,1
4,5670,1
4,6496,1
5,372,1
5,1083,1
5,2550,1
5,4403,1
5,4664,1
5,5138,1
5,5419,1
7,246,1
7,275,1
7,546,1
7,687,1
7,941,1
7,3096,1
7,3608,2
7,4004,2
7,4783,1
7,5484,1
7,5527,1
7,6477,1
8,743,1
8,1345,1
8,1509,1
8,1605,1
8,1800,1
8,2093,1
8,2144,1
8,2394,1
8,2471,1
8,2590,1
8,2999,1
8,3154,5
8,3219,1
8,3350,1
8,3395,1
8,3437,1
8,3516,1
8,3827,1
8,4373,1
8,4527,1
8,4543,1
8,4896,1
8,5116,1
8,5174,1
8,5175,2
8,5252,1
8,5415,1
8,5592,1
8,5641,1
8,5849,1
8,5914,1
8,5932,1
8,5940,1
8,6049,1
8,6248,1
8,6256,1
8,6327,1
8,6358,1
8,6478,1
9,439,1
9,575,1
9,3114,1
10,2640,1
10,4512,1
10,4613,1
10,4750,1
10,5652,1
10,5966,1
11,170,2
11,2129,2
11,3810,1
11,3928,1
11,4854,1
11,5469,1
11,6262,1
11,6539,1
13,270,1
13,1980,1
13,2321,1
13,3079,1
13,3376,1
13,3773,1
13,3872,1
13,4725,1
14,243,1
14,317,1
14,495,1
14,723,1
14,908,1
14,968,1
14,1142,1
14,1389,1
14,1392,1
14,1397,1
14,1440,1
14,1460,1
14,2115,1
14,2328,1
14,2933,1
14,2986,1
14,3216,1
14,3247,1
14,3948,1
14,4238,1
14,4327,1
14,4348,1
14,5023,1
14,5619,1
14,5621,1
14,5650,2
15,2565,1
15,5503,1
16,2536,1
16,4760,2
16,5323,1
17,1261,2
17,1666,1
17,2184,1
17,2527,1
17,2987,1
17,3366,1
17,3461,1
17,3588,1
17,3767,1
17,3896,1
17,3993,1
17,4188,1
17,4934,2
17,5168,1
17,5780,1
17,6295,1
17,6376,1
18,1827,2
18,1867,1
18,2654,1
18,3154,1
18,4657,2
18,4952,1
18,5505,1
18,6317,1
19,583,1
19,1614,1
19,1639,1
19,1685,1
19,1756,1
19,2216,2
19,2370,1
19,2388,1
19,2947,1
19,3008,1
19,3580,1
19,4560,1
19,4802,1
19,4911,1
19,5062,1
19,5464,1
19,5489,1
19,5854,1
19,6300,1
20,21,1
20,437,1
20,1343,1
20,1361,1
20,1797,1
20,2432,1
20,2502,1
20,2564,1
20,2700,1
20,2926,1
20,3005,1
20,3254,1
20,3603,1
20,3718,1
20,4057,1
20,4295,1
20,4750,1
20,5331,1
20,5552,1
20,5770,1
20,6275,1
21,22,1
21,105,2
21,134,1
21,230,1
21,266,1
21,536,1
21,1577,1
21,1797,1
21,1821,1
21,2013,1
21,2098,1
21,2141,1
21,2251,1
21,2457,1
21,2480,1
21,2502,5
21,2744,1
21,2787,1
21,2817,1
21,2831,1
21,2855,2
21,2971,1
21,2973,1
21,3238,1
21,3391,1
21,3431,1
21,3670,1
21,3762,1
21,3933,2
21,4375,1
21,4428,1
21,4438,1
21,4504,1
21,4562,1
21,4575,1
21,4698,2
21,4730,1
21,4796,1
21,5201,1
21,5319,1
21,5410,1
21,5659,1
21,5996,1
21,6323,1
21,6330,1
22,228,1
22,230,1
22,267,1
22,280,1
22,282,1
22,417,1
22,528,1
22,544,1
22,567,1
22,600,1
22,670,1
22,728,2
22,831,1
22,842,1
22,937,1
22,1037,1
22,1191,1
22,1198,2
22,1227,1
22,1545,1
22,1889,1
22,2098,1
22,2432,1
22,2457,1
22,2479,1
22,2492,1
22,2697,1
22,2831,2
22,2869,1
22,2895,1
22,2956,1
22,3013,1
22,3041,1
22,3052,1
22,3121,1
22,3227,1
22,3286,1
22,3302,1
22,3391,1
22,3398,1
22,3437,1
22,3448,1
22,3762,1
22,3803,1
22,3868,1
22,3970,1
22,3996,1
22,4085,4
22,4248,1
22,4322,3
22,4356,3
22,4371,2
22,4375,2
22,4376,1
22,4378,1
22,4394,1
22,4662,1
22,4674,2
22,4707,1
22,4936,2
22,5201,1
22,5416,1
22,5459,1
22,5705,3
22,5744,1
22,5820,1
22,5859,1
22,5861,2
22,5941,1
22,6000,1
22,6049,1
22,6056,4
22,6306,1
22,6324,2
22,6374,1
22,6379,1
22,6383,2
23,259,1
23,385,1
23,571,1
23,1123,1
23,1169,1
23,1192,1
23,1283,1
23,1316,1
23,1802,2
23,1972,1
23,2412,1
23,2717,1
23,3024,1
23,3671,1
23,3920,1
23,4047,1
23,4137,1
23,4510,1
23,4830,1
23,4922,1
23,5154,1
23,5895,2
23,6357,1
23,6545,1
24,842,1
24,1194,1
24,1846,3
24,2093,1
24,2180,1
24,2388,2
24,2453,1
24,2550,1
24,2577,1
24,2775,1
24,3301,1
24,3922,1
24,4062,1
24,4431,1
24,4526,1
24,4704,1
24,4716,1
24,4729,2
24,5183,1
24,5228,1
24,5350,1
24,5453,1
24,5872,1
24,6050,1
26,1260,1
26,2886,2
26,3283,1
26,4113,1
26,4596,1
26,4877,1
26,5093,1
26,6120,1
26,6270,1
26,6357,1
27,241,1
27,448,1
27,568,1
27,1398,1
27,5141,1
27,5535,1
28,483,1
28,605,1
28,1520,1
28,1650,2
28,2069,1
28,2280,1
28,2325,1
28,3292,4
28,3648,1
28,3748,1
28,3887,1
28,4934,1
28,4998,1
28,5187,1
28,6145,1
28,6402,2
29,240,1
29,1039,1
29,4327,1
30,27,1
30,196,2
30,366,1
30,389,1
30,404,1
30,443,1
30,453,1
30,615,2
30,630,1
30,658,1
30,721,1
30,722,2
30,745,1
30,793,1
30,798,1
30,836,1
30,902,1
30,968,2
30,1056,1
30,1347,1
30,1435,1
30,1450,2
30,1587,1
30,1714,1
30,1794,1
30,1917,1
30,1986,1
30,2082,1
30,2244,1
30,2379,1
30,2384,1
30,2404,1
30,2460,1
30,2553,1
30,2555,1
30,2754,2
30,2772,1
30,2812,2
30,2836,1
30,3023,1
30,3120,1
30,3133,2
30,3139,1
30,3259,1
30,3487,1
30,3511,1
30,3545,1
30,3749,2
30,3785,1
30,3809,1
30,3950,3
30,3962,1
30,4001,1
30,4090,2
30,4131,1
30,4160,1
30,4229,1
30,4245,1
30,4381,1
30,4561,1
30,4741,2
30,4862,1
30,4899,6
30,5076,1
30,5358,2
30,5460,1
30,5650,2
30,5655,1
30,5678,1
30,5706,1
30,5722,2
30,5853,1
30,5951,1
30,6009,1
30,6063,1
30,6085,1
30,6088,1
30,6177,1
30,6179,4
30,6206,2
30,6369,1
32,353,1
32,420,1
32,973,1
32,1457,2
32,1673,1
32,1785,2
32,2359,1
32,2361,1
32,3100,1
32,3190,1
32,3207,1
32,3714,1
32,3821,1
32,4256,1
32,4901,1
32,5525,1
32,5725,1
32,5889,1
32,5982,2
32,6529,1
33,693,1
33,1941,1
33,2317,1
33,4330,1
34,1199,2
34,1506,1
34,2028,1
34,2251,1
34,2509,1
34,2545,1
34,2650,1
34,2847,1
34,3174,1
34,4796,1
34,6061,1
35,11,2
35,95,1
35,504,1
35,732,1
35,1710,1
35,2150,1
35,2317,1
35,2776,1
35,2929,1
35,3331,1
35,3604,1
35,3637,1
35,3991,1
35,4227,1
35,4294,1
35,4625,1
35,5038,1
35,5411,1
35,5966,1
35,6261,1
35,6363,1
35,6446,2
35,6472,2
36,319,1
36,399,1
36,437,3
36,442,1
36,828,1
36,1277,1
36,1489,1
36,1754,1
36,1797,1
36,1800,1
36,1821,1
36,1883,1
36,1987,1
36,2027,1
36,2093,1
36,2098,1
36,2256,1
36,2307,1
36,2457,1
36,2480,2
36,2847,1
36,2973,1
36,3012,1
36,3052,1
36,3064,1
36,3286,2
36,3762,2
36,3818,2
36,3837,1
36,4156,1
36,4259,1
36,4284,1
36,4305,1
36,4356,1
36,4394,1
36,4626,1
36,4671,1
36,4686,1
36,4715,2
36,4788,1
36,5373,1
36,5392,1
36,5393,1
36,5416,1
36,5438,2
36,5744,1
36,5859,1
36,5941,1
36,6000,1
36,6148,1
36,6309,1
36,6323,2
36,6445,1
37,1082,1
37,1375,1
37,1746,1
37,2756,1
39,117,1
39,1598,1
39,1797,1
39,1834,2
39,2023,1
39,2334,1
39,2479,2
39,3285,1
39,3326,1
39,3992,1
39,4410,1
39,5859,1
39,6000,1
39,6349,1
40,195,1
40,356,1
40,595,1
40,631,1
40,699,1
40,849,1
40,856,2
40,882,1
40,889,1
40,923,1
40,946,1
40,947,1
40,980,2
40,1048,1
40,1061,1
40,1122,3
40,1214,2
40,1220,1
40,1424,1
40,1537,1
40,1556,1
40,1611,1
40,1663,1
40,1888,1
40,2134,1
40,2154,2
40,2227,1
40,2285,1
40,2450,3
40,2584,1
40,2594,1
40,2630,1
40,2687,1
40,2826,2
40,2859,1
40,2976,2
40,2985,1
40,3201,1
40,3434,1
40,3511,1
40,3532,1
40,3577,1
40,3819,1
40,3913,1
40,3993,1
40,4022,2
40,4094,1
40,4122,1
40,4143,1
40,4319,1
40,4339,1
40,4474,1
40,4614,1
40,4803,1
40,4886,2
40,4932,1
40,5187,1
40,5419,1
40,5601,1
40,5636,1
40,5681,2
40,5686,1
40,5726,1
40,5788,1
40,5908,1
40,5925,1
40,5954,1
40,6058,1
40,6187,2
40,6243,1
40,6398,1
40,6474,1
40,6478,1
40,6526,1
41,390,1
41,918,1
41,1084,1
41,1110,1
41,1120,1
41,1461,1
41,1655,1
41,1802,1
41,1896,1
41,1971,1
41,2263,1
41,2325,1
41,2615,1
41,2985,1
41,3029,1
41,3703,1
41,4054,1
41,4148,1
41,4159,1
41,4303,1
41,4923,1
41,5063,1
41,5141,1
41,5168,1
41,5335,1
41,5863,1
41,6529,1
42,32,1
42,1448,1
42,1539,1
42,2087,1
42,2402,1
42,4623,1
43,5960,1
43,6386,1
46,1124,1
46,1261,1
46,3029,2
46,3260,1
46,3533,1
46,5060,1
46,5168,1
46,6034,1
46,6398,1
47,290,1
47,432,1
47,515,1
47,947,1
47,1220,1
47,1520,1
47,2122,1
47,3246,1
47,3703,1
47,3865,1
47,4318,1
47,4339,1
47,4459,1
47,4559,1
47,4768,1
47,5065,1
47,5923,1
47,6078,1
47,6100,1
47,6145,1
48,151,1
48,1413,1
48,1994,1
48,3770,1
48,3834,1
48,4170,1
49,1578,1
49,2151,1
49,4194,1
49,4642,1
49,5365,1
49,5440,1
50,1482,1
50,3763,1
50,4710,1
50,4948,1
50,5684,1
51,1987,1
52,5913,1
53,2053,1
53,2756,1
54,629,1
54,1489,1
54,1598,1
54,1892,1
54,1958,2
54,2081,1
54,2318,1
54,2479,2
54,2947,1
54,3212,1
54,3931,1
54,4096,1
54,4295,3
54,4678,1
54,4685,1
54,5126,1
54,5393,2
54,5430,1
54,5432,1
54,5909,1
54,6400,1
54,6506,1
55,1277,1
55,1552,1
55,1822,1
55,1958,1
55,3255,1
55,3257,1
55,6365,3
56,225,1
56,270,1
56,407,1
56,410,1
56,591,1
56,785,1
56,799,1
56,885,1
56,939,1
56,1069,1
56,1605,1
56,1672,1
56,1704,2
56,1768,1
56,1805,1
56,1915,1
56,1926,1
56,2023,1
56,2052,1
56,2071,3
56,2141,1
56,2317,1
56,2707,1
56,2769,1
56,2803,3
56,2865,1
56,2931,1
56,3025,4
56,3129,1
56,3177,4
56,3437,3
56,3445,1
56,3568,2
56,3605,1
56,3803,1
56,3834,2
56,3861,1
56,3875,2
56,3933,1
56,4202,1
56,4334,1
56,4422,1
56,4493,1
56,4504,1
56,4527,2
56,4552,1
56,4644,1
56,4712,1
56,5327,2
56,5352,1
56,5514,1
56,5622,1
56,5840,2
56,5865,1
56,6351,2
56,6533,1
57,4690,1
58,772,1
58,2901,1
58,4023,1
58,4338,1
59,3181,1
59,3743,1
59,4393,1
59,4470,1
59,4742,1
59,5188,1
59,5218,3
59,5594,2
59,5653,1
59,5742,1
59,5743,2
59,6347,1
60,1777,1
60,4125,1
60,5380,1
61,1285,1
61,1601,1
61,1685,1
61,1696,1
61,2227,1
61,2881,1
61,3217,1
61,3326,1
61,3370,1
61,4205,1
62,4465,1
62,4703,1
62,6358,1
63,143,1
63,170,1
63,372,1
63,850,1
63,856,1
63,1122,1
63,1821,2
63,2071,1
63,2454,1
63,2881,1
63,3428,1
63,3590,1
63,5058,1
63,5436,1
64,78,1
64,177,1
64,365,1
64,665,1
64,765,1
64,776,1
64,879,1
64,997,1
64,1092,1
64,1116,1
64,1214,1
64,1237,1
64,1290,1
64,1440,1
64,1559,1
64,1640,2
64,2038,1
64,2385,1
64,2392,1
64,2708,1
64,2844,1
64,2859,1
64,3101,1
64,3114,1
64,3219,2
64,3481,1
64,3635,1
64,3910,1
64,3917,1
64,4122,1
64,4254,1
64,4679,1
64,4681,1
64,4683,1
64,5077,1
64,5550,1
64,5854,1
64,5960,2
64,6198,1
64,6275,1
64,6451,1
65,90,1
65,1614,1
65,2591,1
65,2817,1
65,3256,1
65,3630,1
65,4027,1
65,4938,1
66,164,1
66,404,1
66,857,1
66,1167,2
66,1207,1
66,1347,1
66,1864,1
66,1964,1
66,2301,1
66,2331,1
66,2350,1
66,2386,1
66,2503,1
66,2626,1
66,3884,1
66,4098,1
66,4471,1
66,4558,1
66,4875,1
66,5532,2
66,5624,1
66,6206,1
66,6304,2
66,6473,1
66,6480,1
66,6537,1
67,5337,1
68,1555,1
68,1586,1
68,1850,1
68,2372,1
68,2778,1
68,3239,1
68,3257,1
68,3478,1
68,3721,1
68,4729,2
68,5012,1
68,5752,1
68,5832,2
68,6439,1
69,5889,1
70,215,1
70,275,1
70,362,1
70,453,1
70,459,1
70,663,1
70,712,1
70,870,1
70,921,1
70,954,1
70,1060,1
70,1538,1
70,1557,1
70,1581,1
70,1726,1
70,1741,1
70,1982,1
70,2030,1
70,2168,1
70,2204,1
70,2328,1
70,2376,2
70,2385,1
70,2436,2
70,3221,1
70,3282,1
70,3451,1
70,3553,1
70,3590,1
70,3725,1
70,3797,1
70,3846,1
70,4007,1
70,4286,1
70,4350,1
70,4407,1
70,4728,1
70,4956,1
70,4970,1
70,5056,1
70,5144,2
70,5419,1
70,5602,1
70,5684,1
70,6028,1
70,6092,1
70,6172,1
70,6216,1
70,6290,1
70,6477,2
71,278,1
71,633,1
71,917,1
71,1107,1
71,1650,1
71,2683,1
71,3171,1
71,4563,1
71,4770,1
71,5001,1
71,5226,1
74,75,1
74,168,1
74,785,1
74,794,1
74,1839,1
74,3976,1
74,3997,1
74,4325,1
74,6273,1
74,6368,1
75,198,1
75,461,1
75,1103,1
75,1180,1
75,1825,1
75,1915,3
75,2129,1
75,2303,1
75,2601,1
75,2722,1
75,3102,1
75,3639,1
75,3668,2
75,3752,1
75,3952,1
75,4117,1
75,4434,1
75,4692,1
75,4720,1
75,4721,1
75,5109,1
75,5257,2
75,5762,1
75,5828,1
75,6043,2
75,6262,1
75,6273,1
75,6406,1
75,6533,1
77,60,1
77,208,1
77,557,1
77,896,1
77,1976,1
77,3036,2
77,3131,1
77,3184,1
77,3540,1
77,3731,1
77,4125,1
77,4309,1
77,4985,1
77,5312,1
77,5798,1
77,6489,1
78,921,1
78,1389,1
78,1397,1
78,1620,1
78,2435,1
78,3823,1
78,3921,1
78,4045,1
78,6335,1
80,63,2
80,93,1
80,328,1
80,600,1
80,725,1
80,1074,2
80,1194,1
80,1213,2
80,1275,2
80,1285,1
80,2077,1
80,2089,1
80,2594,1
80,2613,1
80,2723,1
80,2918,1
80,2976,1
80,3061,1
80,3105,1
80,3364,1
80,3917,1
80,4451,1
80,4587,1
80,4601,1
80,4731,1
80,4803,1
80,5282,1
80,5448,1
80,5711,1
80,5975,1
81,178,1
81,818,1
81,5535,1
81,5662,3
81,6007,1
82,39,1
82,63,1
82,85,1
82,240,1
82,255,1
82,365,1
82,540,2
82,581,1
82,627,1
82,635,2
82,717,1
82,927,1
82,936,2
82,1074,1
82,1122,1
82,1430,1
82,1440,1
82,1503,1
82,1554,1
82,1664,1
82,1696,1
82,1756,1
82,1841,1
82,1870,1
82,1888,1
82,2047,1
82,2077,2
82,2227,1
82,2254,1
82,2332,2
82,2454,1
82,2479,1
82,2511,1
82,2748,2
82,2758,1
82,3041,1
82,3154,1
82,3225,1
82,3314,1
82,3392,1
82,3410,1
82,3434,2
82,3508,1
82,3595,1
82,3600,1
82,3617,1
82,3683,1
82,3732,1
82,3937,2
82,3951,1
82,4167,1
82,4283,2
82,4510,1
82,4512,2
82,4587,2
82,4734,1
82,4960,1
82,5214,1
82,5448,1
82,5464,1
82,5606,1
82,5636,2
82,5852,1
82,5985,1
82,6086,1
82,6191,1
82,6327,1
82,6462,1
82,6546,1
83,1261,1
83,2683,1
83,2983,1
83,3040,1
83,3358,2
83,5663,1
84,4056,1
84,4929,1
85,468,1
85,644,1
85,665,1
85,670,1
85,720,1
85,915,1
85,980,1
85,1019,1
85,1050,1
85,1175,2
85,1243,1
85,1473,1
85,1493,1
85,1541,1
85,1657,1
85,1955,1
85,1970,1
85,2180,2
85,2288,1
85,2306,1
85,2425,1
85,2430,1
85,2466,1
85,2479,1
85,2486,1
85,2817,1
85,2938,1
85,3057,1
85,3127,1
85,3163,1
85,3244,1
85,3301,1
85,3320,1
85,3399,1
85,3512,1
85,3636,1
85,3659,1
85,3729,1
85,3811,1
85,3918,1
85,4107,1
85,4259,1
85,4448,1
85,4657,1
85,4678,1
85,4708,2
85,5183,1
85,5453,1
85,5693,1
85,6011,1
85,6272,1
85,6273,1
85,6323,3
85,6444,2
86,465,1
86,572,1
86,627,1
86,937,1
86,1424,1
86,1524,1
86,1544,1
86,2055,1
86,2059,1
86,2149,1
86,2317,1
86,2570,1
86,3434,1
86,4174,1
86,4283,3
86,4837,1
86,5292,1
86,6471,1
87,1724,1
87,3532,1
87,4031,1
87,5413,1
87,6007,1
88,151,1
88,368,1
88,987,1
88,2032,1
88,2129,1
88,2704,1
88,3669,1
88,3770,1
89,2777,1
90,122,1
90,166,2
90,175,2
90,202,1
90,295,1
90,400,1
90,645,3
90,842,3
90,1000,2
90,1074,1
90,1119,1
90,1357,2
90,1390,1
90,1515,3
90,1610,1
90,1614,1
90,1670,1
90,1892,2
90,2004,1
90,2070,1
90,2192,1
90,2193,1
90,2318,1
90,2463,1
90,2497,1
90,2782,1
90,2817,1
90,3042,1
90,3105,1
90,3114,1
90,3326,2
90,3437,2
90,3550,1
90,3560,1
90,3834,1
90,4047,1
90,4173,1
90,4191,1
90,4295,1
90,4557,1
90,4661,1
90,4734,1
90,4762,1
90,4802,2
90,4816,2
90,4940,1
90,4945,2
90,5058,1
90,5138,1
90,5144,1
90,5300,1
90,5350,2
90,5489,1
90,5561,1
90,5689,2
90,5770,1
90,5859,1
90,6011,1
90,6067,1
90,6275,1
90,6300,3
90,6333,2
91,458,1
91,2449,1
91,2494,2
91,2563,1
91,2944,1
91,2948,1
91,3096,1
91,3334,1
91,3793,1
91,4050,1
91,4523,1
91,5379,1
91,6174,1
91,6235,1
91,6473,1
91,6475,1
92,1539,1
93,812,1
93,819,2
93,1278,2
93,1420,1
93,1430,1
93,2192,3
93,2208,2
93,2262,2
93,2479,1
93,2619,2
93,2723,1
93,2774,1
93,2881,2
93,3009,1
93,3353,1
93,3364,2
93,3819,1
93,4024,1
93,4205,1
93,4241,1
93,4295,1
93,4360,1
93,4397,1
93,4587,1
93,4650,1
93,4950,1
93,5066,1
93,5146,1
93,5214,1
93,5287,2
93,5455,1
93,5561,3
93,5636,1
93,5693,1
93,5908,1
93,5958,1
93,6058,1
93,6230,1
94,127,1
95,88,1
95,410,1
95,572,1
95,915,1
95,1006,1
95,1236,2
95,1586,2
95,1970,1
95,2032,4
95,2235,2
95,2317,1
95,2703,1
95,3156,1
95,3257,1
95,3753,1
95,3801,2
95,3972,1
95,3979,1
95,5513,1
95,5604,2
95,5909,1
95,6274,1
96,508,1
