id,x_soma,y_soma,z_soma,x_cm,y_cm,z_cm,degree,presynaptic_degree,postsynaptic_degree,weighted_presynaptic_degree,weighted_postsynaptic_degree,pca_1_x,pca_1_y,pca_1_z,pca_1_evr,linear_span_pca_1,n_mesh_vertices
864691134875730426,1097856.0,1087168.0,771320.0,1123670.4655513798,1082687.9954065266,771633.2582171111,0,0,0,0,0,0.9836931239184652,-0.1576389777698903,-0.0865897837114467,0.987037714673204,112080.2262217768,45024
864691134878379514,1073920.0,1084288.0,700600.0,1059961.9719427829,1080718.0102399387,688747.4012552405,1,1,0,1,0,-0.7104371039480258,0.0192740717089762,-0.7034967174718725,0.8152382913516754,142350.4890554354,269922
864691134884743418,515712.0,929152.0,742040.0,505179.0342721005,881246.6511501794,734441.1034362654,12,8,4,9,4,-0.1966167833425666,-0.9145026570257606,-0.3535911916335678,0.8493447123800908,603944.8813981909,413589
864691134884744698,692096.0,944512.0,926320.0,690167.3623737423,912731.984079604,928036.0364128269,20,2,18,2,27,-0.20409933433656,-0.9301934675137754,-0.3050960090169521,0.781402863082131,470833.1634251564,407489
864691134884745978,612480.0,673856.0,806160.0,624378.276880306,672046.6459273095,800415.9685425501,39,21,20,24,37,-0.2322878722010662,-0.9725638705116444,0.0127225077603011,0.4868408423260563,352942.2678723631,295029
864691134884749818,820032.0,598336.0,820360.0,831313.0793584504,614326.6987743352,823666.1061263791,53,7,46,7,75,0.3974542383119128,-0.8777734266020655,0.2674769896629731,0.401154373507037,279649.1315786179,553859
864691134884753402,546688.0,844608.0,863200.0,542372.3878877861,853518.090909178,877864.7607953078,7,0,7,0,7,-0.8342517991292783,0.5507774297706883,0.0258487621513508,0.4527431047364398,195384.16077875177,225504
864691134884756986,645248.0,678912.0,959760.0,655693.4361639328,659788.3676123293,959917.0076893404,47,12,36,14,59,-0.2111610729975997,-0.9728863375415692,0.0943566398058694,0.5072585637243509,449277.7665807469,557393
864691134884760826,1022720.0,640384.0,827080.0,1006633.3731567872,647239.9610740466,854330.1031323139,75,39,36,44,49,-0.7147735284598862,0.0830843975433694,0.6944031868431048,0.6922044711356024,406321.7462859454,645305
864691134884761850,933504.0,672704.0,880840.0,921448.4230465556,674791.0273702852,886275.5122551753,38,3,35,3,53,0.071588176952679,0.9643345580058584,0.2548214927282191,0.8131911041641373,750484.2763755705,456833
864691134884766458,982784.0,811072.0,739520.0,974972.4522360506,746988.7015630899,731177.6751068443,13,6,7,6,9,-0.1726614003009972,-0.9804295281451186,-0.0945831971717969,0.8540401629565657,527815.1473369313,373140
864691134884767994,1093184.0,813376.0,747840.0,1085125.782227937,794143.4037486849,747314.1302521393,24,8,17,10,23,-0.1331457419909358,-0.948386103437933,-0.2878124566371255,0.7573707574623747,547092.1892642683,509544
864691134884768506,946688.0,795520.0,976920.0,952674.669666777,795847.9703398985,981093.830936046,0,0,0,0,0,-0.3186017670445407,0.942566955093432,0.1003017906220626,0.525614943576171,101522.917139225,298720
864691134884769786,1320128.0,854336.0,812840.0,1323533.544271166,815877.9930859252,796611.8015211454,10,8,2,8,2,0.0575968874791813,-0.9633004431121004,-0.2621733297891687,0.7775953804225437,525504.6696857144,426768
864691134884790778,708032.0,688704.0,820400.0,704271.5747855721,661674.3845545013,812948.417722736,74,26,52,27,104,-0.314976928343267,-0.9488683960306058,-0.0209356544140821,0.5901910375110532,423205.9716259106,445963
864691134917382154,621056.0,967872.0,759000.0,600033.3432775291,875860.2439921318,736512.9470168815,12,2,11,2,11,-0.2011776447106814,-0.964351725567839,-0.1719107462114955,0.8907104087675494,623928.0877865399,388108
864691134917391626,584448.0,1002304.0,766520.0,551786.4313911872,953136.7734710224,753823.2730297174,20,3,17,4,24,-0.4615886873776421,-0.8343307465106043,-0.3013769883585058,0.9160144583564772,461933.9035636487,352654
864691134917397514,919488.0,1012544.0,787800.0,879705.2726506655,960689.9496685442,769419.5847765427,26,17,10,19,11,-0.1261444226777881,-0.91986716738509,-0.3713919479393953,0.7766296172753678,476435.55172899936,513485
864691134917397770,930304.0,685952.0,899760.0,928584.7361249712,677971.0763615536,910040.4420711104,34,8,26,10,39,0.1296021500774002,0.6483986999131197,0.7501882488057852,0.4724311066563516,329904.066410332,342697
864691134917398794,900864.0,643840.0,827960.0,907994.7935397312,635861.5560242995,834456.9269992822,49,19,30,20,44,-0.0621127867957346,-0.9948631895306488,-0.0799326956468545,0.5113388908374497,412357.7856797655,357857
