i,j,weight,reciprocated
1,2935,1,False
2,139,2,False
2,271,1,False
2,1188,1,False
2,2672,1,False
2,2813,1,False
2,3098,1,False
2,3792,1,False
2,4329,1,False
2,4401,1,False
2,5423,1,False
2,5839,1,False
2,6159,1,False
3,353,1,False
3,608,1,False
3,852,1,False
3,1647,1,False
3,1816,1,False
3,2149,2,False
3,2181,1,False
3,2503,1,False
3,2958,1,False
3,2961,1,False
3,3262,1,False
3,3765,4,False
3,3880,1,False
3,4004,1,False
3,4921,1,False
3,4955,6,False
3,5261,1,False
3,5329,1,False
3,5524,1,False
3,5961,1,False
4,14,1,False
4,160,1,False
4,243,2,False
4,486,2,False
4,495,1,False
4,714,1,False
4,723,1,False
4,836,1,False
4,1242,2,False
4,1440,1,False
4,1540,2,True
4,1581,1,False
4,1626,2,False
4,1753,1,False
4,1819,1,False
4,1904,1,False
4,1973,3,False
4,2017,2,False
4,2120,1,False
4,2238,1,False
4,2553,1,False
4,2612,2,False
4,2627,3,False
4,2841,1,False
4,3056,1,False
4,3248,1,False
4,3251,1,False
4,3293,2,True
4,3597,2,False
4,4467,1,False
4,4862,1,False
4,5262,1,False
4,5283,1,False
4,5582,2,False
4,5621,1,False
4,5670,1,False
4,5937,9,False
4,6304,1,False
4,6496,1,False
5,296,2,False
5,354,2,False
5,372,1,False
5,410,1,False
5,470,1,False
5,643,1,False
5,687,1,False
5,688,1,False
5,820,1,False
5,954,1,False
5,980,1,False
5,1083,1,False
5,1242,3,False
5,1314,1,False
5,1397,3,False
5,1482,3,False
5,1620,1,False
5,1626,1,False
5,1949,1,False
5,2017,6,False
5,2240,1,False
5,2413,2,False
5,2462,2,False
5,2550,1,False
5,2881,1,False
5,3219,3,False
5,3326,2,False
5,3384,2,False
5,3600,1,False
5,3775,1,False
5,3823,2,False
5,3921,1,False
5,4015,2,False
5,4157,1,False
5,4369,1,False
5,4403,1,False
5,4407,1,False
5,4664,1,False
5,5025,1,False
5,5138,1,False
5,5211,2,False
5,5214,1,False
5,5287,1,False
5,5377,1,False
5,5419,1,False
5,5550,1,False
5,5580,2,False
5,5960,1,False
5,6165,1,False
5,6175,1,False
5,6248,1,False
5,6300,1,False
5,6327,7,False
6,1264,1,False
6,1434,1,False
6,1829,1,False
6,2282,1,False
6,4450,1,False
6,4594,1,False
6,6497,1,False
7,239,2,False
7,246,1,False
7,275,1,False
7,546,1,False
7,687,2,True
7,744,1,False
7,867,1,False
7,921,1,False
7,941,1,False
7,1444,1,False
7,1581,1,False
7,1626,2,False
7,1865,1,False
7,2057,1,False
7,2109,1,False
7,2413,2,False
7,2435,6,False
7,2494,1,False
7,2841,1,False
7,2944,1,False
7,3096,1,False
7,3247,5,False
7,3293,1,False
7,3456,1,False
7,3475,1,False
7,3608,2,False
7,3808,1,False
7,3898,1,False
7,4004,2,False
7,4189,1,False
7,4286,1,False
7,4349,1,False
7,4679,1,False
7,4783,1,False
7,4904,9,False
7,5321,1,False
7,5390,1,False
7,5484,1,False
7,5527,1,False
7,5679,1,False
7,5967,2,False
7,6129,1,False
7,6194,1,False
7,6341,1,False
7,6418,1,False
7,6477,1,False
7,6492,3,False
8,230,1,False
8,287,1,False
8,299,2,False
8,542,1,False
8,743,1,False
8,937,1,False
8,1000,1,False
8,1285,1,False
8,1345,1,False
8,1509,1,False
8,1572,2,False
8,1605,1,False
8,1672,1,False
8,1800,1,False
8,1958,1,False
8,2055,1,False
8,2093,1,False
8,2135,1,False
8,2144,1,False
8,2394,1,False
8,2463,1,False
8,2471,1,False
8,2480,3,False
8,2502,2,False
8,2590,1,False
8,2654,1,False
8,2697,1,False
8,2862,1,False
8,2999,1,False
8,3154,5,False
8,3219,1,False
8,3350,1,False
8,3395,1,False
8,3437,1,False
8,3478,3,False
8,3512,1,False
8,3516,1,False
8,3600,1,False
8,3827,1,False
8,3922,1,False
8,4027,1,False
8,4037,1,False
8,4248,6,False
8,4295,1,False
8,4373,1,False
8,4527,1,False
8,4532,1,False
8,4543,1,False
8,4575,1,False
8,4896,1,False
8,5116,1,False
8,5174,1,False
8,5175,2,False
8,5252,1,False
8,5415,1,False
8,5557,1,False
8,5592,1,False
8,5614,2,False
8,5641,1,False
8,5787,1,False
8,5849,1,False
8,5908,1,False
8,5914,1,False
8,5932,1,False
8,5940,1,False
8,6039,1,False
8,6049,1,False
8,6050,1,False
8,6059,1,False
8,6248,1,False
8,6256,1,False
8,6327,1,False
8,6358,1,False
8,6383,1,False
8,6478,1,False
9,177,2,False
9,217,1,False
9,296,1,False
9,439,1,False
9,503,1,False
9,575,1,False
9,706,1,False
9,812,1,False
9,816,1,False
9,888,1,False
9,980,1,False
9,1397,1,False
9,1482,1,False
9,1535,1,False
9,1614,1,False
9,1640,1,False
9,2135,1,False
9,2881,10,False
9,3114,1,False
9,3219,3,False
9,3326,1,False
9,3364,2,False
9,3606,1,False
9,3670,1,False
9,4015,1,False
9,4208,1,False
9,4369,1,False
9,5087,1,False
9,5211,4,False
9,5252,1,False
9,5864,1,False
9,5960,1,False
9,5988,1,False
9,6086,1,False
9,6089,1,False
9,6165,1,False
9,6318,1,False
9,6327,3,False
10,177,1,False
10,296,1,False
10,866,1,False
10,2348,1,False
10,2640,1,False
10,2767,3,False
10,2895,1,False
10,4512,1,False
10,4613,1,False
10,4750,1,False
10,5652,1,False
10,5966,1,False
10,6502,1,False
11,35,2,False
11,170,3,True
11,398,1,False
11,1064,1,False
11,2129,2,False
11,2289,1,False
11,2316,1,False
11,2809,1,False
11,2878,2,False
11,2928,1,False
11,3121,1,False
11,3416,1,False
11,3525,1,False
11,3810,1,False
11,3834,4,False
11,3928,1,False
11,3951,1,False
11,4301,1,False
11,4696,2,False
11,4854,1,False
11,5469,1,False
11,5610,1,False
11,6262,1,False
11,6539,1,False
13,270,1,False
13,1335,1,False
13,1980,1,False
13,2321,1,False
13,3079,1,False
13,3177,1,False
13,3376,1,False
13,3773,1,False
13,3872,1,False
13,4725,1,False
14,240,1,False
14,243,1,False
14,296,2,False
14,317,1,False
14,400,1,False
14,495,1,False
14,712,1,False
14,714,1,False
14,723,1,False
14,836,1,False
14,908,1,False
14,968,1,False
14,1093,1,False
14,1142,1,False
14,1242,2,False
14,1252,1,False
14,1389,2,True
14,1392,1,False
14,1397,1,False
14,1440,3,True
14,1460,1,False
14,1540,1,False
14,1581,2,False
14,1626,3,False
14,1654,1,False
14,1688,1,False
14,1943,1,False
14,2017,3,False
14,2115,1,False
14,2328,1,False
14,2386,1,False
14,2435,2,False
14,2469,1,False
14,2575,1,False
14,2612,10,False
14,2655,2,False
14,2795,2,False
14,2841,3,False
14,2842,1,False
14,2908,1,False
14,2933,1,False
14,2986,1,False
14,2992,1,False
14,3216,1,False
14,3247,1,False
14,3456,1,False
14,3646,1,False
14,3806,1,False
14,3823,1,False
14,3881,1,False
14,3948,1,False
14,4015,3,False
14,4238,1,False
14,4327,1,False
14,4348,6,True
14,4349,1,False
14,4353,1,False
14,4679,1,False
14,4813,1,False
14,4904,16,False
14,5023,1,False
14,5238,1,False
14,5297,1,False
14,5335,1,False
14,5619,1,False
14,5621,1,False
14,5650,3,True
14,5876,2,False
14,5907,1,False
14,5937,7,False
14,5946,1,False
14,6088,1,False
14,6194,3,False
15,571,1,False
15,1087,1,False
15,1284,1,False
15,2264,1,False
15,2565,2,True
15,3022,1,False
15,3191,1,False
15,3458,1,False
15,3946,1,False
15,5361,1,False
15,5503,1,False
15,6529,1,False
16,99,1,False
16,349,1,False
16,668,2,False
16,1456,1,False
16,1866,1,False
16,2536,1,False
16,2625,4,False
16,3098,1,False
16,3690,1,False
16,3693,1,False
16,4401,1,False
16,4618,1,False
16,4760,2,False
16,4923,1,False
16,5131,1,False
16,5165,2,False
16,5323,1,False
16,6015,2,False
16,6395,1,False
16,6405,2,False
17,1261,2,False
17,1666,1,False
17,1783,2,False
17,1927,1,False
17,2162,1,False
17,2184,1,False
17,2346,1,False
17,2527,1,False
17,2758,1,False
17,2880,1,False
17,2987,1,False
17,3366,1,False
17,3461,1,False
17,3588,1,False
17,3767,1,False
17,3805,1,False
17,3896,1,False
17,3993,1,False
17,4188,1,False
17,4934,2,False
17,5068,1,False
17,5136,1,False
17,5168,1,False
17,5780,1,False
17,6295,1,False
17,6376,2,True
18,177,2,False
18,217,3,False
18,240,1,False
18,257,2,False
18,685,1,False
18,712,1,False
18,816,1,False
18,1397,1,False
18,1430,1,False
18,1620,1,False
18,1639,1,False
18,1827,2,False
18,1867,1,False
18,2502,1,False
18,2654,1,False
18,2715,1,False
18,2765,2,False
18,2881,5,False
18,3008,1,False
18,3154,1,False
18,3326,1,False
18,3600,1,False
18,3964,1,False
18,4027,1,False
18,4208,1,False
18,4241,1,False
18,4657,2,False
18,4664,1,False
18,4952,1,False
18,5505,1,False
18,5849,1,False
18,5989,2,False
18,6317,1,False
18,6327,4,False
19,526,1,False
19,583,1,False
19,1053,1,False
19,1156,1,False
19,1430,1,False
19,1503,1,False
19,1614,1,False
19,1639,1,False
19,1640,1,False
19,1685,1,False
19,1756,1,False
19,1808,1,False
19,1841,1,False
19,2017,1,False
19,2216,2,False
19,2230,1,False
19,2370,1,False
19,2388,1,False
19,2462,1,False
19,2881,1,False
19,2947,1,False
19,3008,1,False
19,3081,2,False
19,3219,2,False
19,3326,1,False
19,3364,2,False
19,3481,1,False
19,3580,1,False
19,3592,1,False
19,3600,4,False
19,3606,3,False
19,3843,1,False
19,3942,1,False
19,4320,1,False
19,4419,1,False
19,4425,1,False
19,4560,1,False
19,4649,1,False
19,4802,1,False
19,4911,1,False
19,5062,1,False
19,5211,1,False
19,5376,1,False
19,5464,1,False
19,5489,1,False
19,5854,1,False
19,6148,1,False
19,6300,1,False
19,6327,7,False
20,21,1,False
20,230,1,False
20,337,1,False
20,417,2,False
20,437,1,False
20,528,2,False
20,1343,1,False
20,1361,1,False
20,1524,1,False
20,1797,1,False
20,1958,1,False
20,2394,1,False
20,2432,1,False
20,2480,1,False
20,2484,1,False
20,2502,2,True
20,2564,1,False
20,2700,1,False
20,2926,1,False
20,3005,1,False
20,3254,1,False
20,3367,1,False
20,3437,1,False
20,3603,1,False
20,3718,1,False
20,3728,1,False
20,4057,1,False
20,4295,1,False
20,4750,1,False
20,4974,1,False
20,5100,1,False
20,5248,4,False
20,5331,1,False
20,5552,1,False
20,5770,1,False
20,6263,3,False
20,6275,1,False
20,6331,1,False
20,6471,2,False
20,6498,1,False
21,22,1,False
21,105,2,False
21,134,1,False
21,230,4,True
21,266,1,False
21,536,1,False
21,655,1,False
21,823,1,False
21,1577,1,False
21,1797,1,False
21,1821,1,False
21,2013,1,False
21,2098,1,False
21,2141,1,False
21,2205,1,False
21,2251,1,False
21,2457,1,False
21,2479,3,False
21,2480,2,True
21,2502,5,False
21,2504,7,False
21,2744,1,False
21,2787,1,False
21,2817,1,False
21,2831,2,True
21,2855,2,False
21,2971,1,False
21,2973,1,False
21,3052,1,False
21,3238,1,False
21,3286,1,False
21,3390,1,False
21,3391,1,False
21,3431,1,False
21,3488,1,False
21,3592,2,False
21,3670,1,False
21,3756,1,False
21,3762,1,False
21,3933,2,False
21,4295,2,False
21,4373,2,False
21,4375,1,False
21,4378,1,False
21,4410,1,False
21,4428,1,False
21,4438,1,False
21,4479,1,False
21,4480,1,False
21,4504,1,False
21,4562,1,False
21,4575,1,False
21,4698,2,False
21,4730,1,False
21,4796,1,False
21,5201,1,False
21,5319,1,False
21,5373,1,False
21,5410,1,False
21,5659,1,False
21,5744,2,False
21,5859,1,False
21,5941,1,False
21,5996,1,False
21,6050,1,False
21,6257,1,False
21,6323,1,False
21,6330,1,False
21,6331,1,False
21,6498,1,False
22,228,1,False
22,229,1,False
22,230,1,False
22,267,1,False
22,280,1,False
22,282,1,False
22,417,1,False
22,528,1,False
22,544,1,False
22,567,1,False
22,600,1,False
22,670,1,False
22,728,2,False
22,831,1,False
22,842,1,False
22,937,1,False
22,1037,1,False
22,1191,1,False
22,1193,1,False
22,1198,2,False
22,1227,1,False
22,1279,1,False
22,1545,2,True
22,1576,1,False
22,1619,1,False
22,1889,1,False
22,2098,1,False
22,2180,4,False
22,2394,1,False
22,2432,1,False
22,2457,1,False
22,2479,3,True
22,2492,1,False
22,2502,2,False
22,2504,6,False
22,2697,1,False
22,2707,1,False
22,2831,2,False
22,2869,1,False
22,2895,1,False
22,2956,2,True
22,3013,1,False
22,3041,1,False
22,3052,1,False
22,3085,1,False
22,3121,1,False
22,3162,1,False
22,3227,1,False
22,3286,1,False
22,3302,1,False
22,3391,1,False
22,3398,3,True
22,3437,1,False
22,3448,1,False
22,3465,1,False
22,3592,1,False
22,3762,1,False
22,3803,1,False
22,3868,1,False
22,3970,1,False
22,3996,1,False
22,4085,4,False
22,4248,1,False
22,4322,3,False
22,4356,3,False
22,4371,2,False
22,4375,2,False
22,4376,1,False
22,4378,2,True
22,4394,1,False
22,4662,1,False
22,4665,1,False
22,4674,2,False
22,4698,1,False
22,4707,1,False
22,4936,2,False
22,5100,1,False
22,5139,1,False
22,5201,1,False
22,5416,1,False
22,5432,1,False
22,5459,1,False
22,5659,1,False
22,5705,3,False
22,5744,1,False
22,5820,1,False
22,5859,1,False
